,id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
587737,bK05U64T,3297378,       (2005 UT64),2005 UT64,,,Y,Y,20.2,,,,19,2459000.5,59000,20200531.0,J2000,0.5222912701817058,1.820943483807508,0.8698805987205841,10.51016626902277,161.58190119515282,327.3931259863254,300.90724143799184,2.7720063688944316,0.40110619861539,2459147.8244710905,20201025.3244711,897.5179173064696,2.45727013636268,0.047175,18.35909475,9.057499999999999e-08,7.7665e-08,1.5982e-07,2.6396e-05,0.00020844,0.00020016,0.00010941,1.1823000000000001e-07,2.5661e-08,0.00028212,5.742e-05,APO,0.53389
590625,bK05V05O,3299722,       (2005 VO5),2005 VO5,,,Y,Y,19.8,,,,22,2459000.5,59000,20200531.0,J2000,0.5611078540434826,2.008943844822776,0.8817096751604049,14.24527598078145,100.99705317226721,241.9797054440778,59.50905959059318,3.136178014485147,0.3461404691722629,2458828.5782951126,20191211.0782951,1040.040191951203,2.8474748581826206,0.03951180000000001,15.376807205999999,5.087399999999999e-07,2.3771e-07,1.0582999999999999e-06,6.1695e-05,9.4041e-05,0.00014595,0.00036015,3.711e-07,6.1437e-08,0.0010101,0.0001846,APO,0.5412399999999999
590632,bK05V07R,3299947,       (2005 VR7),2005 VR7,,,Y,Y,21.3,,,,18,2459000.5,59000,20200531.0,J2000,0.2871005845354289,1.082847091971411,0.7719610589039299,25.249856883879445,254.8759946489769,101.0566128934652,23.556969736842042,1.393733125038893,0.8746884101818757,2458973.568158372,20200504.0681584,411.5751344243197,1.1268313057476202,0.0297892,11.593062964000001,1.8271e-07,1.1031999999999999e-08,2.0374000000000002e-07,3.9010999999999996e-05,3.3781999999999996e-05,3.5767e-05,6.1097e-05,1.4198999999999999e-08,1.3367e-08,6.9491e-05,6.2897e-06,APO,0.48273999999999995
591682,bK05W00D,3303213,       (2005 WD),2005 WD,,,Y,Y,21.9,,,,25,2459000.5,59000,20200531.0,J2000,0.5603159416932622,2.3083777514838433,1.014956897877398,26.154262817540268,227.6678684631761,161.0079187735509,60.715130757776635,3.6017986050902873,0.2810242219646635,2458784.450542294,20191027.9505423,1281.028366463255,3.5072645214599705,0.043620400000000004,16.975751068,3.9354e-08,7.2263e-09,8.799899999999999e-08,2.2845999999999998e-05,5.088e-06,4.1413000000000005e-05,9.5406e-06,1.1275e-08,1.3195999999999999e-09,3.4848e-05,6.0153e-06,APO,0.36373
591689,bK05W01A,3303218,       (2005 WA1),2005 WA1,,,Y,Y,21.6,,,,26,2459000.5,59000,20200531.0,J2000,0.5851034184021455,2.0073755048945903,0.8328532349640325,10.93417564602027,247.25340137494192,241.6404950550293,20.21971622137901,3.181897774825147,0.3465462018843521,2458942.153620465,20200402.6536205,1038.822523641848,2.84414106404339,0.020771500000000002,8.083644655,8.3345e-08,1.9888e-08,1.6035e-07,9.582e-06,1.0285e-05,2.7498000000000003e-05,3.0765e-05,3.1525e-08,5.150100000000001e-09,8.791e-05,1.5438e-05,APO,0.46917
591938,bK05W55Y,3305002,       (2005 WY55),2005 WY55,,,Y,Y,20.7,,,,32,2459000.5,59000,20200531.0,J2000,0.720275934125298,2.488155168413285,0.695996880235718,7.275239254862293,248.18155371456982,286.1919402563567,230.50470107917852,4.280313456590853,0.2511238048411745,2459516.1631765864,20211028.663176604,1433.5558519738308,3.92486201772438,0.00356622,1.3878658374000001,2.2489999999999998e-07,6.9314e-08,5.588399999999999e-07,3.3336999999999996e-05,5.6106e-05,7.7396e-05,5.7425e-05,1.1924e-07,1.0492999999999998e-08,0.00025015,5.9903e-05,APO,0.59987
592944,bK05X77T,3307228,       (2005 XT77),2005 XT77,,,Y,Y,21.2,,,,26,2459000.5,59000,20200531.0,J2000,0.2663199911471069,0.8411463855094456,0.6171322875671492,17.21892004134866,84.80994426959364,149.9598640628533,131.4499517076519,1.065160483451742,1.2776052839769971,2458897.6122354013,20200218.112235397,281.777168985536,0.771463843902905,0.027295499999999997,10.622589735,2.9984e-07,1.658e-09,2.5191e-07,3.3863000000000004e-05,1.2322999999999999e-05,4.991e-05,7.9511e-05,2.0995999999999997e-09,3.7774999999999994e-09,6.2216e-05,8.3314e-07,ATE,0.40066
593434,bK05Y03U,3309093,       (2005 YU3),2005 YU3,,,Y,Y,19.8,,,,20,2459000.5,59000,20200531.0,J2000,0.8413313486262349,2.551721571883502,0.4048782204920988,3.01800629151283,2.4738975008705038,341.4731162687445,205.67183331934208,4.698564923274905,0.2417988028040181,2459638.750334125,20220228.2503341,1488.8411184226832,4.07622482798818,0.0427202,16.625420234,8.203200000000001e-07,8.470399999999999e-07,1.9614e-06,1.3600999999999999e-05,0.0013808,0.001526,0.00024722,1.5597e-06,1.204e-07,0.00134,0.00074133,APO,0.55281
593453,bK05Y08S,3309286,       (2005 YS8),2005 YS8,,,Y,Y,20.0,,,,JPL 9,2453733.5,53733,20051229.0,J2000,0.5292709058185767,1.696793585737066,0.7987301076268584,17.36498878566928,56.472659401825,298.2162374698763,30.33411263748488,2.594857063847274,0.4459236982901106,2453665.4746567546,20051021.974656798,807.3130030550427,2.21030254087623,0.00702483,2.7338530911000003,0.00056957,0.0022573,9.913e-05,0.0073145,0.012874000000000002,0.038837,0.072793,0.003452,0.00088984,0.027498,1.611,APO,0.58762
593773,bK05Y96Q,3309828,       (2005 YQ96),2005 YQ96,,,Y,Y,20.4,,,,31,2459000.5,59000,20200531.0,J2000,0.3336268838416924,0.7433733343191322,0.4953640052592316,22.224392678488197,282.6866303567369,340.1348480816747,14.37328962362958,0.9913826633790329,1.537777868574453,2458991.1532081664,20200521.6532082,234.1040324203172,0.6409419094327641,0.0188257,7.3263976689999994,1.5371e-07,2.3289e-09,1.1418e-07,1.4258e-05,5.1498e-06,4.0011e-05,7.4354e-05,3.1059e-09,7.2265e-09,4.8348e-05,1.1001e-06,ATE,0.49549
594782,bK06A03R,3311865,       (2006 AR3),2006 AR3,,,Y,Y,20.6,,,,25,2459000.5,59000,20200531.0,J2000,0.6363037058262218,2.469963430046815,0.8983165462527806,4.70875228736292,12.41032293421016,40.72028803016493,272.7843020909843,4.041610313840849,0.2539032670435214,2459343.9997072886,20210509.4997073,1417.8628112662,3.8818968138704997,0.00220415,0.8577890555,3.8595999999999994e-07,4.5324e-07,1.0862999999999999e-06,4.7894e-05,0.00058226,0.00046713,0.00041435,7.4163e-07,6.9887e-08,0.0017264,0.00039026,APO,0.58428
