,name,id,nametype,recclass,massg,fall,date,reclat,reclong,GeoLocation,mass,masslog,year,place,region,country
1373,Acfer 334,341,Valid,L6,211.25,Found,01/01/2002 12:00:00 AM,27.65,4.38333,"(27.650000, 4.383330)",0.21125,1.21125,2002,I-n-Salah,Tamanghasset,Algeria
1416,Acfer 378,35480,Valid,LL6,1320.0,Found,01/01/2003 12:00:00 AM,27.4,3.75,"(27.400000, 3.750000)",1.32,2.3200000000000003,2003,I-n-Salah,Tamanghasset,Algeria
1417,Acfer 379,35338,Valid,H4,14764.0,Found,01/01/2004 12:00:00 AM,27.4114,3.7046699999999997,"(27.411400, 3.704670)",14.764,15.764,2004,I-n-Salah,Tamanghasset,Algeria
1426,Acfer 392,54591,Valid,H~5,74.0,Found,01/01/1997 12:00:00 AM,27.51667,3.8666699999999996,"(27.516670, 3.866670)",0.074,1.074,1997,I-n-Salah,Tamanghasset,Algeria
1436,Achilles,369,Valid,H5,16000.0,Found,01/01/1924 12:00:00 AM,39.77667,-100.81333000000001,"(39.776670, -100.813330)",16.0,17.0,1924,Atwood,Kansas,United States
1437,Ackerly,55379,Valid,L5,3046.0,Found,01/01/1995 12:00:00 AM,32.59033,-101.77216999999999,"(32.590330, -101.772170)",3.046,4.045999999999999,1995,Lamesa,Texas,United States
1438,Acme,371,Valid,H5,75000.0,Found,01/01/1947 12:00:00 AM,33.63333,-104.26666999999999,"(33.633330, -104.266670)",75.0,76.0,1947,Roswell,New Mexico,United States
1439,Acomita,372,Valid,"Pallasite, PMG",3956.0,Found,01/01/1962 12:00:00 AM,35.05,-107.56667,"(35.050000, -107.566670)",3.956,4.9559999999999995,1962,Skyline-Ganipa,New Mexico,United States
1440,Acuña,373,Valid,"Iron, IIIAB",217700.0,Found,01/01/1981 12:00:00 AM,29.316670000000002,-100.96667,"(29.316670, -100.966670)",217.7,218.7,1981,Ciudad Acuna,Coahuila,Mexico
1441,Adalia,374,Valid,Eucrite-mmict,1.0,Found,01/01/1883 12:00:00 AM,36.9,30.683329999999998,"(36.900000, 30.683330)",0.001,1.001,1883,Antalya,Antalya,Turkey
1442,Adam Talha,44856,Valid,LL3.2,259.3,Found,01/01/2005 12:00:00 AM,22.9935,-10.15367,"(22.993500, -10.153670)",0.25930000000000003,1.2593,2005,Zouerat,Tiris Zemmour,Mauritania
1443,Adams County,375,Valid,H5,5700.0,Found,01/01/1928 12:00:00 AM,39.96667,-103.76666999999999,"(39.966670, -103.766670)",5.7,6.7,1928,Fort Morgan,Colorado,United States
1444,ad-Dahbubah,376,Valid,H5,90000.0,Found,01/01/1961 12:00:00 AM,19.83333,51.25,"(19.833330, 51.250000)",90.0,91.0,1961,Shihan as Sufla,Al Mahrah,Yemen
1445,Adelie Land,378,Valid,L5,1000.0,Found,01/01/1912 12:00:00 AM,-67.18333,142.38333,"(-67.183330, 142.383330)",1.0,2.0,1912,Geeveston,Tasmania,Australia
1446,Admire,380,Valid,"Pallasite, PMG",180000.0,Found,01/01/1881 12:00:00 AM,38.7,-96.1,"(38.700000, -96.100000)",180.0,181.0,1881,Osage City,Kansas,United States
1447,Adrar 001,381,Valid,H4/5,1917.0,Found,01/01/1990 12:00:00 AM,28.05,0.16667,"(28.050000, 0.166670)",1.917,2.917,1990,Adrar,Adrar,Algeria
1449,Adrar 003,383,Valid,L/LL3.10,287.0,Found,01/01/1990 12:00:00 AM,27.133329999999997,0.2,"(27.133330, 0.200000)",0.287,1.287,1990,Reggane,Adrar,Algeria
1450,Adrar Bous,384,Valid,EL5,360.0,Found,01/01/2001 12:00:00 AM,20.5,9.0,"(20.500000, 9.000000)",0.36,1.3599999999999999,2001,Arlit,Agadez,Niger
1451,Adrar Chiriet,44703,Valid,L6,926.0,Found,01/01/2003 12:00:00 AM,19.640079999999998,9.35545,"(19.640080, 9.355450)",0.926,1.9260000000000002,2003,Arlit,Agadez,Niger
1452,Adrar Madet,385,Valid,H5/6,1113.0,Found,01/01/1997 12:00:00 AM,18.5,10.4,"(18.500000, 10.400000)",1.113,2.113,1997,Bilma,Agadez,Niger
1453,Adrar Madet 002,386,Valid,LL3,2200.0,Found,01/01/2002 12:00:00 AM,18.61042,10.4941,"(18.610420, 10.494100)",2.2,3.2,2002,Bilma,Agadez,Niger
1454,Adrar Yaouelt,387,Valid,H5,2730.0,Found,01/01/2002 12:00:00 AM,17.67987,10.03503,"(17.679870, 10.035030)",2.73,3.73,2002,Alaghsas,Agadez,Niger
1455,Adrian,388,Valid,H4,22600.0,Found,01/01/1936 12:00:00 AM,35.15,-102.71667,"(35.150000, -102.716670)",22.6,23.6,1936,Vega,Texas,United States
1456,Adzhi-Bogdo (iron),389,Valid,"Iron, IAB complex",582000.0,Found,01/01/1952 12:00:00 AM,44.86667,95.41667,"(44.866670, 95.416670)",582.0,583.0,1952,Bayan-Ovoo,Govi-Altay,Mongolia
1457,Aggie Creek,393,Valid,"Iron, IIIAB",43000.0,Found,01/01/1942 12:00:00 AM,64.88333,-163.16666999999998,"(64.883330, -163.166670)",43.0,44.0,1942,Kotzebue,Alaska,United States
1458,Agoudal,57354,Valid,"Iron, IIAB",100000.0,Found,01/01/2000 12:00:00 AM,31.98457,-5.515280000000001,"(31.984570, -5.515280)",100.0,101.0,2000,Imilchil,Meknes-Tafilalet,Morocco
1459,Agoult,395,Valid,Eucrite,82.0,Found,01/01/2000 12:00:00 AM,30.55,-4.9,"(30.550000, -4.900000)",0.082,1.082,2000,Jebel Tiskaouine,Meknes-Tafilalet,Morocco
